Date,Open,High,Low,Close,Volume
2019-06-17,124.29,124.47,123.81,124.17,85259
2019-06-14,124.45,124.65,124.26,124.39,154298
2019-06-13,124.45,124.79,124.193,124.79,119816
2019-06-12,125.1,126.0,125.1,125.68,233125
2019-06-11,124.5,125.25,124.38,124.99,153523
2019-06-10,123.46,123.93,123.36,123.49,118698
2019-06-07,121.95,122.865,121.88,122.39,120322
2019-06-06,121.05,121.45,120.86,121.3,116554
2019-06-05,120.5,121.0,120.04,120.22,136131
2019-06-04,118.73,119.77,118.51,119.54,228467
2019-06-03,117.58,118.27,117.44,118.13,101963
2019-05-31,117.25,117.72,117.1,117.58,181378
2019-05-30,119.78,119.92,119.38,119.75,125918
2019-05-29,119.88,119.88,118.9,119.55,125665
2019-05-28,119.87,120.66,119.38,119.4,145277
2019-05-24,118.84,118.88,118.04,118.55,121215
2019-05-23,117.38,117.86,117.05,117.47,116506
2019-05-22,117.78,117.98,117.27,117.32,107611
2019-05-21,117.85,118.39,117.456,118.25,124296
2019-05-20,118.12,118.79,117.88,118.11,156280
2019-05-17,118.38,119.09200000000001,118.195,118.4,334084
2019-05-16,119.15,120.29,119.0,119.9,160907
2019-05-15,118.85,120.89,118.46,120.64,274274
2019-05-14,118.87,119.74,118.73,119.07,136848
2019-05-13,118.0,119.03,117.79,118.26,208599
2019-05-10,118.92,119.54,117.73,119.27,143048
2019-05-09,119.08,119.36,117.75,119.32,273300
2019-05-08,122.55,122.65,121.71,121.76,140904
2019-05-07,123.0,123.35,121.9,122.5,158532
2019-05-06,121.62,123.02,121.33,122.98,137391
2019-05-03,122.61,123.76,122.61,123.65,112373
2019-05-02,122.92,123.15299999999999,122.34,122.59,84023
2019-05-01,123.95,123.95,122.79,122.92,94451
2019-04-30,124.21,124.21,123.46,123.6,155477
2019-04-29,123.78,124.0,123.62,123.81,97755
2019-04-26,123.79,123.83,123.46,123.62,126442
2019-04-25,123.51,123.51,122.82,123.19,87898
2019-04-24,122.75,123.22,122.65,122.88,169896
2019-04-23,124.88,124.98,124.485,124.94,117239
2019-04-22,124.81,124.81,123.98,124.16,160527
2019-04-18,124.99,125.425,124.945,125.16,189831
2019-04-17,123.84,124.64,123.8,124.08,181796
2019-04-16,121.96,122.22,121.51,121.75,114128
2019-04-15,122.16,122.44,121.61,121.97,138549
2019-04-12,121.84,122.8,121.84,122.4,117110
2019-04-11,121.69,121.83,121.0,121.04,96825
2019-04-10,122.44,122.45,122.04,122.18,65427
2019-04-09,122.39,122.8,121.95,122.06,104083
2019-04-08,121.73,122.49,121.73,122.24,84568
2019-04-05,122.0,122.73,121.875,122.54,132055
2019-04-04,121.7,122.39,121.645,122.08,155592
2019-04-03,120.95,121.595,120.83,121.07,117882
2019-04-02,120.5,120.74,120.11,120.65,88353
2019-04-01,119.46,120.197,119.46,119.88,140491
2019-03-29,118.25,118.31,117.84,118.02,250727
2019-03-28,119.36,119.51,118.75,119.07,155467
2019-03-27,119.18,119.41,118.6,119.09,145680
2019-03-26,120.05,120.32,119.57,119.82,140561
2019-03-25,117.97,118.75,117.51,118.56,138590
2019-03-22,119.17,119.22,117.91,118.29,182360
2019-03-21,117.7,118.56,117.35,118.51,129268
2019-03-20,118.39,118.49,117.05,117.75,142782
2019-03-19,118.02,118.56,117.72,117.81,87048
2019-03-18,117.03,117.68,116.91,117.59,108063
2019-03-15,117.09,117.29,116.85,117.06,153366
2019-03-14,116.01,116.22,115.57,115.81,142046
2019-03-13,116.75,117.74,116.66,117.4,62474
2019-03-12,117.27,117.29,116.68,116.86,80278
2019-03-11,116.6,117.45,116.6,117.22,136944
2019-03-08,114.94,115.84,114.94,115.82,101868
2019-03-07,116.34,116.36,114.94,115.36,140803
2019-03-06,116.22,116.41,115.99,116.09,155523
2019-03-05,116.6,116.6,116.03,116.36,152270
2019-03-04,117.11,117.12,116.07,116.52,244223
2019-03-01,118.47,118.67,117.71,118.41,214948
2019-02-28,119.36,119.49,118.61,119.1,126841
2019-02-27,120.73,120.79,120.13,120.36,135090
2019-02-26,120.78,121.67,120.78,121.25,104039
2019-02-25,120.74,120.98,120.44,120.45,121328
2019-02-22,119.99,120.06,119.5,119.87,106752
2019-02-21,119.79,120.02,119.15,119.3,175882
2019-02-20,120.35,121.38,120.33,120.82,175863
2019-02-19,118.59,119.82,118.59,119.54,105803
2019-02-15,118.42,119.29,118.28,119.21,167627
2019-02-14,117.17,117.58,116.73,117.34,239433
2019-02-13,118.04,118.14,117.45,117.71,113163
2019-02-12,117.13,117.91,117.13,117.86,211034
2019-02-11,116.0,116.0,115.12,115.27,170187
2019-02-08,115.4,115.44,114.53,115.43,209438
2019-02-07,117.33,117.5,115.5,116.22,315774
2019-02-06,119.77,120.05,118.65,119.11,275588
2019-02-05,121.54,121.74,121.24,121.49,122324
